,id,created_at,gst_amount,usdc_amount
0,382,2022-02-15 06:22:01,499488,1316719
0,383,2022-02-15 06:23:02,499488,1316719
0,384,2022-02-15 06:24:02,499488,1316719
0,385,2022-02-15 06:25:05,499541,1316632
0,386,2022-02-15 06:26:02,499541,1316632
0,387,2022-02-15 06:27:02,499541,1316632
0,388,2022-02-15 06:28:06,499541,1316632
0,389,2022-02-15 06:29:02,499369,1317086
0,390,2022-02-15 06:30:02,499369,1317086
0,391,2022-02-15 06:31:02,499369,1317086
0,392,2022-02-15 06:32:05,499401,1317003
0,393,2022-02-15 06:33:02,499161,1317637
0,394,2022-02-15 06:34:02,499161,1317637
0,395,2022-02-15 06:35:02,499126,1317731
0,396,2022-02-15 06:36:02,499218,1317488
0,397,2022-02-15 06:37:04,499218,1317488
0,398,2022-02-15 06:38:02,499218,1317488
0,399,2022-02-15 06:39:02,499218,1317488
0,400,2022-02-15 06:40:02,499218,1317488
0,401,2022-02-15 06:41:02,499218,1317488
0,402,2022-02-15 06:42:03,499185,1317575
0,403,2022-02-15 06:43:03,499185,1317575
0,404,2022-02-15 06:44:02,499185,1317575
0,405,2022-02-15 06:45:06,498982,1318112
0,406,2022-02-15 06:46:04,498960,1318173
0,407,2022-02-15 06:47:02,498985,1318107
0,408,2022-02-15 06:48:02,498995,1318081
0,409,2022-02-15 06:49:02,498991,1318090
0,410,2022-02-15 06:50:01,499058,1317915
0,411,2022-02-15 06:51:02,499058,1317915
0,412,2022-02-15 06:52:03,499058,1317915
0,413,2022-02-15 06:53:07,499054,1317924
0,414,2022-02-15 06:54:03,499054,1317924
0,415,2022-02-15 06:55:02,498978,1318126
0,416,2022-02-15 06:56:02,498978,1318126
0,417,2022-02-15 06:57:08,498978,1318126
0,418,2022-02-15 06:58:02,498971,1318145
0,419,2022-02-15 06:59:03,498834,1318509
0,420,2022-02-15 07:00:02,498843,1318485
0,421,2022-02-15 07:01:03,498843,1318485
0,422,2022-02-15 07:02:05,498800,1318598
0,423,2022-02-15 07:03:02,498797,1318606
0,424,2022-02-15 07:04:02,498451,1319524
0,425,2022-02-15 07:05:02,498749,1318739
0,426,2022-02-15 07:06:02,498871,1318417
0,427,2022-02-15 07:07:03,498871,1318417
0,428,2022-02-15 07:08:01,498871,1318417
0,429,2022-02-15 07:09:01,498871,1318417
0,430,2022-02-15 07:10:05,498867,1318427
0,431,2022-02-15 07:11:02,498867,1318427
0,432,2022-02-15 07:12:02,498852,1318467
0,433,2022-02-15 07:13:02,498852,1318467
0,434,2022-02-15 07:14:02,498862,1318441
0,435,2022-02-15 07:15:02,498862,1318441
0,436,2022-02-15 07:16:02,498868,1318425
0,437,2022-02-15 07:17:01,498878,1318399
0,438,2022-02-15 07:18:02,498878,1318399
0,439,2022-02-15 07:19:01,498878,1318399
0,440,2022-02-15 07:20:02,498878,1318399
0,441,2022-02-15 07:21:03,498478,1319461
0,442,2022-02-15 07:22:01,498478,1319461
0,443,2022-02-15 07:23:04,498468,1319488
0,444,2022-02-15 07:24:02,498450,1319536
0,445,2022-02-15 07:25:02,498281,1319985
0,446,2022-02-15 07:26:02,498281,1319985
0,447,2022-02-15 07:27:02,498102,1320460
0,448,2022-02-15 07:28:03,498139,1320361
0,449,2022-02-15 07:29:02,498139,1320361
0,450,2022-02-15 07:30:04,498179,1320256
0,451,2022-02-15 07:31:02,498209,1320177
0,452,2022-02-15 07:32:02,498209,1320177
0,453,2022-02-15 07:33:03,497973,1320805
0,454,2022-02-15 07:34:02,497973,1320805
0,455,2022-02-15 07:35:02,497950,1320866
0,456,2022-02-15 07:36:03,497950,1320866
0,457,2022-02-15 07:37:03,497541,1321955
0,458,2022-02-15 07:38:03,497509,1322041
0,459,2022-02-15 07:39:02,497363,1322435
0,460,2022-02-15 07:40:02,497363,1322435
0,461,2022-02-15 07:41:04,497287,1322649
0,462,2022-02-15 07:42:03,497287,1322649
0,463,2022-02-15 07:43:02,497200,1322882
0,464,2022-02-15 07:44:04,497184,1322924
0,465,2022-02-15 07:45:07,497232,1322798
